Time,TP,Total_Bits,Total_Packets,Packet_Sizes,Packet_Times,IPGs
297,2040.0,2040,4,"[55, 94, 53, 53]","[1654009032.95372, 1654009033.015213, 1654009033.019544, 1654009033.075196]","[10.720035, 0.061493, 0.004331, 0.055652]"
298,0.0,0,0,[],[],[]
299,0.0,0,0,[],[],[]
300,0.0,0,0,[],[],[]
301,0.0,0,0,[],[],[]
302,0.0,0,0,[],[],[]
303,0.0,0,0,[],[],[]
304,0.0,0,0,[],[],[]
305,0.0,0,0,[],[],[]
306,0.0,0,0,[],[],[]
307,0.0,0,0,[],[],[]
308,0.0,0,0,[],[],[]
309,0.0,0,0,[],[],[]
310,0.0,0,0,[],[],[]
311,0.0,0,0,[],[],[]
312,0.0,0,0,[],[],[]
313,0.0,0,0,[],[],[]
314,0.0,0,0,[],[],[]
315,0.0,0,0,[],[],[]
316,0.0,0,0,[],[],[]
317,0.0,0,0,[],[],[]
318,0.0,0,0,[],[],[]
319,0.0,0,0,[],[],[]
320,0.0,0,0,[],[],[]
321,0.0,0,0,[],[],[]
322,0.0,0,0,[],[],[]
323,3320.0,3320,4,"[55, 53, 203, 104]","[1654009059.272836, 1654009059.293654, 1654009059.331727, 1654009059.331824]","[26.19764, 0.020818, 0.038073, 9.7e-05]"
